rb_team,goals_scored,pp_goals,sh_goals,es_goals,ot_goals,avg_goal_minute,avg_score_diff,pp_rate
HK Nitra,198,37,8,153,8,31.45395622895623,-0.3939393939393939,0.18686868686868688
HK Dukla Michalovce,184,45,3,136,5,32.033876811594205,0.391304347826087,0.24456521739130435
Slovan Bratislava,183,44,7,132,9,36.11502732240437,0.1366120218579235,0.24043715846994534
HC MONACObet B.Bystrica,182,46,3,133,8,34.212820512820514,0.16483516483516483,0.25274725274725274
HK Poprad,178,27,15,136,11,32.17247191011236,0.47191011235955055,0.15168539325842698
HK 32 Liptovský Mikuláš,175,40,6,129,7,33.765904761904764,0.10285714285714286,0.22857142857142856
HKM Zvolen,170,29,7,134,10,33.21509803921568,0.023529411764705882,0.17058823529411765
Vlci Žilina,169,28,11,130,6,33.33293885601578,0.03550295857988166,0.16568047337278108
HC Košice,163,47,7,109,4,32.105828220858896,0.25766871165644173,0.2883435582822086
HK Spišská Nová Ves,145,48,3,94,5,33.478505747126434,0.5241379310344828,0.3310344827586207
HK Dukla Trenčín,117,23,2,92,3,31.616381766381767,0.09401709401709402,0.19658119658119658
HC Prešov,101,19,2,80,4,31.763531353135313,0.3465346534653465,0.18811881188118812
